T type,T type class,Dataset,T type sub-class,Specimen ID
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,760011270
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,645057881
Pvalb Vipr2,MGE interneuron,New Patchseq,Pvalb interneuron,606271263
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,740872967
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,710730520
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,661319074
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,693265371
Pvalb Vipr2,MGE interneuron,New Patchseq,Pvalb interneuron,606308411
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,993283588
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,739570508
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,760437219
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,808882292
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,707666779
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,602231708
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,760890074
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,661318431
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,752027250
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,714046701
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,887156236
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,827347629
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,718494231
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,643702874
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,750776506
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,764897253
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,741788179
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,741785767
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,640111844
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,740380531
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,657985196
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,711571947
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,844870606
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,705217315
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,668464797
Pvalb Th Sst,MGE interneuron,New Patchseq,Pvalb interneuron,685707621
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,747028632
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,639893239
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,817935092
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,816434177
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,689030611
Pvalb Vipr2,MGE interneuron,New Patchseq,Pvalb interneuron,823702943
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,681793778
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,898697809
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,718636190
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,717675736
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,707179690
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,810317285
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,645322005
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,825549510
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,692286150
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,804977071
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,871782504
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,601803754
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,601808698
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,745584401
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,697799017
Vip Rspo1 Itga4,CGE interneuron,New Patchseq,Vip interneuron,738041476
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,742784488
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,692044280
