T type sub-class,T type,T type class,Specimen ID,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
Sst interneuron,Sst Rxfp1 Prdm8,MGE interneuron,688115867,0.191391468,0.040184625,0.862389057,1.347291653,0.709626292,0.29083684,-451.3289663,75.60005615,69.28801363,-110.1487031,-696.2656115,16,0.454593298,0.683824512,153,0,0.033211045,0.966788955,0.023759594,0.229774088,0.641629658,0.509369805,7.905543808,0.026936257,0.071035929,0.826271511,0.481733805,0.270514032,6,0.304073817,0.389836912,45,5,0.001896094,0,0.998103906,0.379218809,0.569207433,0,0.4,0.6,0,4.021396273,0.960594673
Sncg interneuron,Sncg Vip Itih5,CGE interneuron,941802910,0.190910613,0.017514578,0.832596696,9.769285797,0.897726184,0.536195606,-1351.009498,-197.8272475,1091.716604,695.0180678,129.7904669,18,0.548401287,1.530088005,243,0.001410935,0.005149912,0.993439153,0.017709537,0.447266314,0.621869489,0.609729742,22.64075959,0.011963375,0.035807355,0.817262981,0.263093417,0.482436503,6,0.282642426,0.368687492,49,5,0,0,1,0.45629071,0.382242029,0.2,0,0.4,0.4,4.196253156,0.794249175
Pvalb interneuron,Pvalb Akr1c18 Ntf3,MGE interneuron,853882442,0.19081477,0.156153385,0.907870306,4.711111735,0.737889831,0.330159743,-928.373741,-69.3235822,624.3682907,328.4265277,-263.342675,16,0.468092714,0.657480082,277,0,0.0628872,0.9371128,0,0.444535359,0.329047341,0.481933431,13.15405715,0.053159057,0.209344832,0.883410536,0.203720567,0.297847168,5,0.291357563,0.350734177,39,7,0.007745933,0,0.992254067,0.273431448,0.276529822,0,0.285714286,0.428571429,0.285714286,1.871749079,0.877233101
Lamp5 interneuron,Lamp5 Plch2 Dock5,CGE interneuron,731917470,0.189211514,0.11056187,0.870710408,11.47875282,0.509114737,0.430938156,105.5986546,221.6922705,29.14890565,-108.8585084,-462.1650906,20,0.484034266,0.812971554,131,0.241360836,0.276185374,0.482453791,0.014920518,0.452451112,0.520492901,0.320168299,7.055748343,0.022877176,0.007570864,0.893429996,0.19799579,0.185991421,5,0.206810255,0.226115234,39,7,0,0,1,0.485429448,0.626533742,0.285714286,0.142857143,0.428571429,0.142857143,2.518896485,0.179171825
Pvalb interneuron,Pvalb Reln Tac1,MGE interneuron,766097293,0.185782235,0.027407413,0.865400968,6.482223839,0.59514649,0.351887288,-546.928034,-101.7304953,-1265.766928,-1220.597967,1021.495395,28,0.391717121,0.660442077,597,0,0,1,0.015650388,0.310632043,0.161825436,0.481561813,21.11553721,0.056894082,0.035213941,0.886462954,0.249690887,0.36703043,8,0.242922477,0.282848927,62,6,0.005190311,0.002595156,0.992214533,0.284602076,0.324394464,0.166666667,0.166666667,0.5,0.166666667,3.327282148,0.611442365
Sst Chodl interneuron,Sst Chodl,MGE interneuron,843366621,0.185100056,0.148560584,0.767650613,4.036149309,0.889318157,0.237477202,347.0624485,1342.739349,131.4648911,51.66424906,-140.4738416,14,0.541270037,0.716444116,145,0.013294798,0.006936416,0.979768786,0.017926565,0.344508671,0.827023121,0.704753781,9.649655077,0.1180701,0.137593161,0.834735541,0.297454532,0.197152529,10,0.330353069,0.443898495,44,4,0,0,1,0.205591147,0.942341293,0.25,0.25,0.5,0,2.567856988,0.072833078
Sst interneuron,Sst Hpse Cbln4,MGE interneuron,746924803,0.18443146,0.21328644,0.851394491,17.57145529,0.504220952,0.517540156,1207.228633,-322.5244806,-920.9345452,1514.952148,199.7856322,36,0.404028484,0.979289702,889,0.246006715,0.001373487,0.752619799,0.016642117,0.223166141,0.070861736,0.134593279,29.69800919,0.020985779,0.067121295,0.873690628,0.273461418,0.299552647,8,0.19831285,0.232308134,37,5,0,0,1,0.41453246,0.229898749,0.4,0,0.2,0.4,2.346345984,0.447292433
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,707162377,0.184250707,0.247341743,0.82379963,12.28485552,0.346923201,0.339515,-623.519401,-8.950229055,93.7925596,-140.1338223,-178.5802591,31,0.394511162,1.152187337,131,0.00401322,0,0.99598678,0.073023382,0.13503305,0.033758263,0.230899844,6.503937307,0.023498997,0.215248411,0.848109581,0.468897394,0.34829913,8,0.320525362,0.428186126,47,5,0,0.008963786,0.991036214,0.444245249,0.257798494,0.2,0.2,0.4,0.2,3.963776909,0.822991963
Vip interneuron,Vip Gpc3 Slc18a3,CGE interneuron,601506507,0.180833198,0.247937781,0.799930046,22.7209158,0.39374782,0.363841295,-304.8558622,34.1820972,-280.924072,-207.0166371,-525.8841285,12,0.452063907,0.794445695,39,0,0.026595745,0.973404255,0.021366433,0.422340426,0.871808511,0.751667881,3.477662435,0.124994992,0.107480386,0.788084352,0.184329519,0.677335469,6,0.411633712,0.523700528,22,2,0.394107838,0,0.605892162,0.137298499,0.522512507,0.5,0,0,0.5,2.51829563,0.388545466
Sncg interneuron,Sncg Gpr50,CGE interneuron,859621160,0.180580337,0.254494234,0.779196993,11.0476164,0.702685947,0.413877108,1205.384118,-472.4782428,652.1744425,-330.3418059,-137.6135408,20,0.493143414,1.090468748,241,0,0.142654742,0.857345258,0.017735445,0.218719561,0.669795449,0.676888051,16.19857919,0.052531963,0.00240326,0.811224698,0.219799019,0.205054018,5,0.187382667,0.248638612,30,4,0.05907781,0,0.94092219,0.175792507,0.366714697,0.25,0.25,0.25,0.25,1.981002626,0.189959281
